id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
7990,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7991,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7992,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7993,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7994,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7995,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7996,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7997,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7998,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
7999,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8000,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8001,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8002,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8003,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8004,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8005,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8006,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8007,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8008,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8009,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8010,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8011,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8012,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8013,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8014,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8015,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
8016,Algebra,Ecuaciones Cuadraticas,Algebra,Ecuaciones Cuadraticas,7,True
