id,curso_actual,tema_actual,motivo
4016,Algebra,Teoria de Exponentes,tema_no_mapeado
4017,Algebra,Teoria de Exponentes,tema_no_mapeado
4018,Algebra,Teoria de Exponentes,tema_no_mapeado
4022,,,curso_no_objetivo_o_no_mapeado
4042,Algebra,Teoria de Exponentes,tema_no_mapeado
4043,Algebra,Teoria de Exponentes,tema_no_mapeado
4044,Algebra,Teoria de Exponentes,tema_no_mapeado
4046,Algebra,Teoria de Exponentes,tema_no_mapeado
4049,Algebra,Teoria de Exponentes,tema_no_mapeado
4050,Algebra,Teoria de Exponentes,tema_no_mapeado
4052,Algebra,Teoria de Exponentes,tema_no_mapeado
4053,Algebra,Teoria de Exponentes,tema_no_mapeado
4054,Algebra,Teoria de Exponentes,tema_no_mapeado
4056,Algebra,Teoria de Exponentes,tema_no_mapeado
4057,Algebra,Teoria de Exponentes,tema_no_mapeado
4058,Algebra,Teoria de Exponentes,tema_no_mapeado
4059,Algebra,Teoria de Exponentes,tema_no_mapeado
4062,Algebra,Teoria de Exponentes,tema_no_mapeado
4065,Algebra,Teoria de Exponentes,tema_no_mapeado
4068,Algebra,Teoria de Exponentes,tema_no_mapeado
4069,Algebra,Teoria de Exponentes,tema_no_mapeado
4070,Algebra,Teoria de Exponentes,tema_no_mapeado
4072,Algebra,Teoria de Exponentes,tema_no_mapeado
4074,Algebra,Teoria de Exponentes,tema_no_mapeado
4075,Algebra,Teoria de Exponentes,tema_no_mapeado
4077,Algebra,Teoria de Exponentes,tema_no_mapeado
4078,Algebra,Teoria de Exponentes,tema_no_mapeado
4081,Algebra,Teoria de Exponentes,tema_no_mapeado
4082,Algebra,Teoria de Exponentes,tema_no_mapeado
4083,Algebra,Teoria de Exponentes,tema_no_mapeado
4084,Algebra,Teoria de Exponentes,tema_no_mapeado
4086,Algebra,Teoria de Exponentes,tema_no_mapeado
4088,Algebra,Teoria de Exponentes,tema_no_mapeado
4089,Algebra,Teoria de Exponentes,tema_no_mapeado
4091,Algebra,Teoria de Exponentes,tema_no_mapeado
4094,Algebra,Teoria de Exponentes,tema_no_mapeado
4096,Algebra,Teoria de Exponentes,tema_no_mapeado
4097,Algebra,Teoria de Exponentes,tema_no_mapeado
4100,Algebra,Teoria de Exponentes,tema_no_mapeado
4102,Algebra,Teoria de Exponentes,tema_no_mapeado
6358,Geometria,SIN_TEMA,tema_no_mapeado
6359,Geometria,SIN_TEMA,tema_no_mapeado
6360,Geometria,SIN_TEMA,tema_no_mapeado
6361,Geometria,SIN_TEMA,tema_no_mapeado
6362,Geometria,SIN_TEMA,tema_no_mapeado
6363,Geometria,SIN_TEMA,tema_no_mapeado
6364,Geometria,SIN_TEMA,tema_no_mapeado
6365,Geometria,SIN_TEMA,tema_no_mapeado
6366,Geometria,SIN_TEMA,tema_no_mapeado
6367,Geometria,SIN_TEMA,tema_no_mapeado
6368,Geometria,SIN_TEMA,tema_no_mapeado
6369,Geometria,SIN_TEMA,tema_no_mapeado
6370,Geometria,SIN_TEMA,tema_no_mapeado
6371,Geometria,SIN_TEMA,tema_no_mapeado
6372,Geometria,SIN_TEMA,tema_no_mapeado
6373,Geometria,SIN_TEMA,tema_no_mapeado
6374,Geometria,SIN_TEMA,tema_no_mapeado
6375,Geometria,SIN_TEMA,tema_no_mapeado
6376,Geometria,SIN_TEMA,tema_no_mapeado
6377,Geometria,SIN_TEMA,tema_no_mapeado
6378,Geometria,SIN_TEMA,tema_no_mapeado
6379,Geometria,SIN_TEMA,tema_no_mapeado
6380,Geometria,SIN_TEMA,tema_no_mapeado
6381,Geometria,SIN_TEMA,tema_no_mapeado
6382,Geometria,SIN_TEMA,tema_no_mapeado
6383,Geometria,SIN_TEMA,tema_no_mapeado
6384,Geometria,SIN_TEMA,tema_no_mapeado
6385,Geometria,SIN_TEMA,tema_no_mapeado
6386,Geometria,SIN_TEMA,tema_no_mapeado
6387,Geometria,SIN_TEMA,tema_no_mapeado
6388,Geometria,SIN_TEMA,tema_no_mapeado
6389,Geometria,SIN_TEMA,tema_no_mapeado
6390,Geometria,SIN_TEMA,tema_no_mapeado
6391,Geometria,SIN_TEMA,tema_no_mapeado
6392,Geometria,SIN_TEMA,tema_no_mapeado
6393,Geometria,SIN_TEMA,tema_no_mapeado
6394,Geometria,SIN_TEMA,tema_no_mapeado
6395,Geometria,SIN_TEMA,tema_no_mapeado
6396,Geometria,SIN_TEMA,tema_no_mapeado
6397,Geometria,SIN_TEMA,tema_no_mapeado
6398,Geometria,SIN_TEMA,tema_no_mapeado
6399,Geometria,SIN_TEMA,tema_no_mapeado
6400,Geometria,SIN_TEMA,tema_no_mapeado
6401,Geometria,SIN_TEMA,tema_no_mapeado
6402,Geometria,SIN_TEMA,tema_no_mapeado
6403,Geometria,SIN_TEMA,tema_no_mapeado
6404,Geometria,SIN_TEMA,tema_no_mapeado
6405,Geometria,SIN_TEMA,tema_no_mapeado
6406,Geometria,SIN_TEMA,tema_no_mapeado
6407,Geometria,SIN_TEMA,tema_no_mapeado
6408,Geometria,SIN_TEMA,tema_no_mapeado
6409,Geometria,SIN_TEMA,tema_no_mapeado
6410,Geometria,SIN_TEMA,tema_no_mapeado
6411,Geometria,SIN_TEMA,tema_no_mapeado
6412,Geometria,SIN_TEMA,tema_no_mapeado
6413,Geometria,SIN_TEMA,tema_no_mapeado
6414,Geometria,SIN_TEMA,tema_no_mapeado
6415,Geometria,SIN_TEMA,tema_no_mapeado
6416,Geometria,SIN_TEMA,tema_no_mapeado
6417,Geometria,SIN_TEMA,tema_no_mapeado
6418,Geometria,SIN_TEMA,tema_no_mapeado
6419,Geometria,SIN_TEMA,tema_no_mapeado
6420,Geometria,SIN_TEMA,tema_no_mapeado
6421,Geometria,SIN_TEMA,tema_no_mapeado
6422,Geometria,SIN_TEMA,tema_no_mapeado
6423,Geometria,SIN_TEMA,tema_no_mapeado
6424,Geometria,SIN_TEMA,tema_no_mapeado
6425,Geometria,SIN_TEMA,tema_no_mapeado
6426,Geometria,SIN_TEMA,tema_no_mapeado
6427,Geometria,SIN_TEMA,tema_no_mapeado
6428,Geometria,SIN_TEMA,tema_no_mapeado
6429,Geometria,SIN_TEMA,tema_no_mapeado
