id,curso,tema,subtema,tema_id,subtema_id
717,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
718,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
719,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
720,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
721,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
722,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
723,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
724,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
725,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
726,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
727,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
728,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
729,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
730,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
731,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
732,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
733,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
734,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
735,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
736,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
737,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
738,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
739,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
740,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
741,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
742,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
743,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
744,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
745,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
746,Trigonometria,Razones Trigonometricas de Angulos Agudos,,,
747,Trigonometria,Angulos Verticales y Horizontales,,,
748,Trigonometria,Angulos Verticales y Horizontales,,,
749,Trigonometria,Angulos Verticales y Horizontales,,,
750,Trigonometria,Angulos Verticales y Horizontales,,,
751,Trigonometria,Angulos Verticales y Horizontales,,,
752,Trigonometria,Angulos Verticales y Horizontales,,,
753,Trigonometria,Angulos Verticales y Horizontales,,,
